Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,FIPS,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2017,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,4771
SURVEY,2016,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,3277
SURVEY,2015,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,4163
SURVEY,2014,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,3339
SURVEY,2013,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,3918
SURVEY,2012,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,4422
SURVEY,2011,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,3465
SURVEY,2010,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,2620
SURVEY,2008,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,2795
SURVEY,2007,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,2845
SURVEY,2006,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,2360
SURVEY,2005,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,2835
SURVEY,2004,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,3065
SURVEY,1992,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,2770
SURVEY,1991,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,2300
SURVEY,1990,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,2190
SURVEY,1989,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,2930
SURVEY,1988,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,2855
SURVEY,1987,YEAR,,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,13001,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,2590
