,TIMESTAMP,RECORD,CO2_1_avg,CO2_1_Min,CO2_1_Max,CO2_1_TMx,CO2_2_Avg,CO2_2_Max,CO2_2_TMx,CO2_2_Min,CO2_2_TMin,EOS_Flux_Avg,EOS_Flux_Max,EOS_Flux_TMx,EOS_Flux_Min,EOS_Flux_TMn,EOS_CO2_Avg,EOS_Temp_Avg,BattV_Avg,PTemp_C_Avg,Temp_C_Avg
1,9/19/2018 12:35,0,48.82,48.48,49.83,9/19/2018 12:35,43.36,44.16,9/19/2018 12:34,42.26,9/19/2018 12:35,2536,2537,9/19/2018 12:34,2536,9/19/2018 12:34,410.6,4269,12.77,23.56,23.47
2,9/19/2018 12:36,1,49.44,48.48,49.87,9/19/2018 12:35,42.14,42.27,9/19/2018 12:35,41.89,9/19/2018 12:35,2536,2537,9/19/2018 12:36,2536,9/19/2018 12:35,410.5,4269,12.77,23.58,22.76
3,9/19/2018 12:37,2,47.98,47.46,48.39,9/19/2018 12:36,42.93,43.36,9/19/2018 12:36,42.4,9/19/2018 12:36,2536,2537,9/19/2018 12:36,2536,9/19/2018 12:37,410.4,4270,12.77,23.59,22.75
4,9/19/2018 12:38,3,47.5,46.58,48.71,9/19/2018 12:38,42.22,42.74,9/19/2018 12:37,41.5,9/19/2018 12:37,2536,2537,9/19/2018 12:37,2536,9/19/2018 12:37,410.4,4270,12.77,23.6,22.71
5,9/19/2018 12:39,4,48,47.48,48.51,9/19/2018 12:38,42.49,43.14,9/19/2018 12:38,41.93,9/19/2018 12:38,2536,2537,9/19/2018 12:38,2536,9/19/2018 12:38,410.6,4269,12.77,23.61,22.86
6,9/19/2018 12:40,5,48.2,47.04,49.01,9/19/2018 12:39,42.25,42.74,9/19/2018 12:39,41.23,9/19/2018 12:40,2543,2588,9/19/2018 12:40,2536,9/19/2018 12:39,417.2,4273,12.77,23.62,22.87
7,9/19/2018 12:41,6,48.93,47.5,49.8,9/19/2018 12:40,41.22,41.62,9/19/2018 12:40,40.7,9/19/2018 12:40,2571,2587,9/19/2018 12:40,2565,9/19/2018 12:40,444.6,4298,12.74,23.63,22.86
8,9/19/2018 12:42,7,48.36,47.72,49.12,9/19/2018 12:41,41.86,42.34,9/19/2018 12:41,41.35,9/19/2018 12:42,2567,2587,9/19/2018 12:41,2565,9/19/2018 12:41,440.7,4292,12.74,23.64,22.86
9,9/19/2018 12:43,8,47.73,47.18,48.26,9/19/2018 12:42,41.81,42.29,9/19/2018 12:42,41.34,9/19/2018 12:42,2546,2565,9/19/2018 12:42,2536,9/19/2018 12:42,419.9,4270,12.75,23.65,22.91
10,9/19/2018 12:44,9,47.96,47.36,48.3,9/19/2018 12:43,41.81,42.35,9/19/2018 12:43,41.23,9/19/2018 12:43,2538,2558,9/19/2018 12:43,2536,9/19/2018 12:44,412.2,4262,12.76,23.65,22.95
11,9/19/2018 12:45,10,47.91,47.21,48.27,9/19/2018 12:44,41.93,42.28,9/19/2018 12:44,41.37,9/19/2018 12:44,2509,2537,9/19/2018 12:44,2494,9/19/2018 12:44,406.8,4295,12.76,23.66,22.9
12,9/19/2018 12:46,11,47.78,45.32,58.79,9/19/2018 12:45,41.23,42.27,9/19/2018 12:45,40.54,9/19/2018 12:45,2494,2495,9/19/2018 12:45,2494,9/19/2018 12:45,404.9,4312,12.76,23.67,22.76
13,9/19/2018 12:47,12,48.42,47.79,48.92,9/19/2018 12:46,42.27,42.68,9/19/2018 12:46,41.59,9/19/2018 12:46,2495,2495,9/19/2018 12:46,2494,9/19/2018 12:46,405,4312,12.76,23.67,22.53
14,9/19/2018 12:48,13,47.07,46.38,47.75,9/19/2018 12:48,41.86,42.19,9/19/2018 12:47,41.42,9/19/2018 12:47,2495,2495,9/19/2018 12:47,2494,9/19/2018 12:47,404.9,4312,12.77,23.67,22.48
15,9/19/2018 12:49,14,48.28,47.95,48.85,9/19/2018 12:48,42.76,43.12,9/19/2018 12:48,42.43,9/19/2018 12:49,2494,2495,9/19/2018 12:48,2494,9/19/2018 12:48,404.9,4312,12.77,23.66,22.5
16,9/19/2018 12:50,15,47.83,46.49,48.38,9/19/2018 12:49,41.89,42.4,9/19/2018 12:49,40.91,9/19/2018 12:50,2501,2547,9/19/2018 12:50,2494,9/19/2018 12:49,411.8,4319,12.76,23.65,22.44
17,9/19/2018 12:51,16,46.05,45.23,46.62,9/19/2018 12:50,41.27,41.77,9/19/2018 12:51,40.86,9/19/2018 12:50,2529,2546,9/19/2018 12:50,2523,9/19/2018 12:51,439.1,4347,12.74,23.64,22.38
18,9/19/2018 12:52,17,47.84,45.85,48.95,9/19/2018 12:51,42.59,43.61,9/19/2018 12:52,41.44,9/19/2018 12:51,2525,2545,9/19/2018 12:51,2523,9/19/2018 12:51,435.1,4343,12.74,23.62,22.37
19,9/19/2018 12:53,18,48.24,46.99,49.86,9/19/2018 12:53,42.53,43.27,9/19/2018 12:52,41.73,9/19/2018 12:52,2507,2523,9/19/2018 12:52,2494,9/19/2018 12:52,416.7,4325,12.74,23.61,22.49
20,9/19/2018 12:54,19,49.88,49.32,50.48,9/19/2018 12:53,43.24,43.81,9/19/2018 12:53,42.68,9/19/2018 12:53,2497,2516,9/19/2018 12:53,2494,9/19/2018 12:53,406.6,4314,12.76,23.6,22.6
21,9/19/2018 12:55,20,49.54,48.81,50.01,9/19/2018 12:54,42.72,43.27,9/19/2018 12:54,42.2,9/19/2018 12:54,2520,2534,9/19/2018 12:54,2495,9/19/2018 12:54,413.9,4329,12.76,23.59,22.53
22,9/19/2018 12:56,21,48.89,48.41,49.52,9/19/2018 12:55,42.5,43.11,9/19/2018 12:55,41.49,9/19/2018 12:56,2534,2534,9/19/2018 12:55,2534,9/19/2018 12:55,418.9,4338,12.76,23.59,22.49
23,9/19/2018 12:57,22,48.34,48.18,48.56,9/19/2018 12:56,42.39,42.78,9/19/2018 12:56,41.8,9/19/2018 12:56,2534,2534,9/19/2018 12:56,2534,9/19/2018 12:56,418.9,4338,12.76,23.58,22.52
24,9/19/2018 12:58,23,47.63,46.85,48.26,9/19/2018 12:58,41.29,42.34,9/19/2018 12:57,40.64,9/19/2018 12:57,2534,2534,9/19/2018 12:57,2534,9/19/2018 12:57,419,4338,12.76,23.57,22.38
25,9/19/2018 12:59,24,47.67,46.96,48.45,9/19/2018 12:58,41.36,41.93,9/19/2018 12:58,40.7,9/19/2018 12:58,2534,2534,9/19/2018 12:58,2534,9/19/2018 12:58,418.8,4338,12.76,23.55,22.44
26,9/19/2018 13:00,25,47.67,46.59,48.21,9/19/2018 12:59,41.07,41.58,9/19/2018 12:59,40.02,9/19/2018 13:00,2541,2586,9/19/2018 13:00,2534,9/19/2018 12:59,425.5,4345,12.76,23.54,22.45
27,9/19/2018 13:01,26,46.46,46.09,46.9,9/19/2018 13:00,40.56,41.28,9/19/2018 13:00,40.03,9/19/2018 13:00,2568,2585,9/19/2018 13:00,2562,9/19/2018 13:01,453,4373,12.73,23.52,22.45
28,9/19/2018 13:02,27,46.34,45.49,46.9,9/19/2018 13:01,40.69,41.26,9/19/2018 13:01,40.14,9/19/2018 13:01,2564,2585,9/19/2018 13:01,2562,9/19/2018 13:01,449,4369,12.73,23.5,22.4
29,9/19/2018 13:03,28,46.47,46.17,47.52,9/19/2018 13:03,40.79,41.27,9/19/2018 13:02,40.16,9/19/2018 13:02,2546,2562,9/19/2018 13:02,2534,9/19/2018 13:03,430.6,4350,12.74,23.48,22.26
30,9/19/2018 13:04,29,45.96,45.22,47.53,9/19/2018 13:03,40.73,42.25,9/19/2018 13:04,39.92,9/19/2018 13:03,2536,2555,9/19/2018 13:03,2534,9/19/2018 13:03,420.5,4340,12.75,23.46,22.36
31,9/19/2018 13:05,30,46.87,46.24,47.66,9/19/2018 13:05,40.93,41.88,9/19/2018 13:04,39.69,9/19/2018 13:05,2497,2534,9/19/2018 13:04,2470,9/19/2018 13:04,406.9,4347,12.76,23.44,22.46
32,9/19/2018 13:06,31,46.71,46.22,47.33,9/19/2018 13:05,40.18,40.62,9/19/2018 13:06,39.68,9/19/2018 13:05,2470,2470,9/19/2018 13:05,2469,9/19/2018 13:05,398.5,4353,12.76,23.42,22.47
33,9/19/2018 13:07,32,46.8,46.23,47.22,9/19/2018 13:06,40.28,41.06,9/19/2018 13:06,39.28,9/19/2018 13:06,2470,2470,9/19/2018 13:06,2469,9/19/2018 13:06,398.5,4353,12.76,23.41,22.52
34,9/19/2018 13:08,33,46.61,46.23,47.19,9/19/2018 13:08,40.3,40.64,9/19/2018 13:07,39.92,9/19/2018 13:07,2470,2470,9/19/2018 13:07,2469,9/19/2018 13:07,398.5,4353,12.76,23.4,22.5
35,9/19/2018 13:09,34,46.4,45.62,47.17,9/19/2018 13:08,40.76,41.15,9/19/2018 13:08,40.52,9/19/2018 13:09,2470,2470,9/19/2018 13:09,2470,9/19/2018 13:08,398.6,4353,12.76,23.39,22.45
36,9/19/2018 13:10,35,46.09,45.3,46.7,9/19/2018 13:09,40.49,40.83,9/19/2018 13:09,39.93,9/19/2018 13:10,2476,2521,9/19/2018 13:10,2469,9/19/2018 13:09,405.2,4360,12.76,23.37,22.43
37,9/19/2018 13:11,36,45.44,44.86,46.02,9/19/2018 13:10,39.95,40.13,9/19/2018 13:10,39.6,9/19/2018 13:10,2506,2521,9/19/2018 13:10,2498,9/19/2018 13:10,434.4,4389,12.73,23.37,22.41
38,9/19/2018 13:12,37,45.95,45.08,46.59,9/19/2018 13:11,39.51,40.13,9/19/2018 13:11,38.96,9/19/2018 13:11,2500,2520,9/19/2018 13:11,2498,9/19/2018 13:11,428.7,4384,12.73,23.36,22.46
39,9/19/2018 13:13,38,46.39,45.07,47.61,9/19/2018 13:13,39.95,40.52,9/19/2018 13:12,39.44,9/19/2018 13:12,2484,2498,9/19/2018 13:12,2470,9/19/2018 13:13,411.8,4365,12.74,23.35,22.33
40,9/19/2018 13:14,39,47.38,47.05,47.85,9/19/2018 13:13,39.72,40.22,9/19/2018 13:13,39.18,9/19/2018 13:13,2472,2491,9/19/2018 13:13,2470,9/19/2018 13:13,400.1,4356,12.75,23.34,22.38
41,9/19/2018 13:15,40,47.25,46.13,47.53,9/19/2018 13:14,39.82,40.24,9/19/2018 13:15,39.42,9/19/2018 13:14,2491,2507,9/19/2018 13:14,2470,9/19/2018 13:14,398.7,4359,12.75,23.33,22.46
42,9/19/2018 13:16,41,46.11,45.5,46.59,9/19/2018 13:15,39.75,40.17,9/19/2018 13:15,39.43,9/19/2018 13:15,2507,2507,9/19/2018 13:15,2506,9/19/2018 13:15,399,4363,12.75,23.33,22.44
43,9/19/2018 13:17,42,45.83,45.49,46.26,9/19/2018 13:16,39.84,40.27,9/19/2018 13:17,39.36,9/19/2018 13:16,2507,2507,9/19/2018 13:16,2506,9/19/2018 13:16,399,4363,12.75,23.32,22.41
44,9/19/2018 13:18,43,45.45,45.22,45.98,9/19/2018 13:17,40.57,40.96,9/19/2018 13:17,40.2,9/19/2018 13:17,2507,2507,9/19/2018 13:17,2506,9/19/2018 13:17,399,4363,12.75,23.31,22.41
45,9/19/2018 13:19,44,44.99,44.46,45.62,9/19/2018 13:18,39.8,40.57,9/19/2018 13:18,39.3,9/19/2018 13:18,2507,2507,9/19/2018 13:18,2506,9/19/2018 13:18,399,4363,12.75,23.31,22.48
46,9/19/2018 13:20,45,46.5,45.44,47.42,9/19/2018 13:19,39.93,40.44,9/19/2018 13:19,38.45,9/19/2018 13:20,2513,2558,9/19/2018 13:20,2506,9/19/2018 13:19,405.8,4370,12.75,23.3,22.44
47,9/19/2018 13:21,46,45.8,45,46.34,9/19/2018 13:20,39.21,39.7,9/19/2018 13:21,38.46,9/19/2018 13:20,2543,2558,9/19/2018 13:20,2535,9/19/2018 13:20,434.8,4399,12.73,23.3,22.47
48,9/19/2018 13:22,47,44.95,43.93,46.34,9/19/2018 13:21,38.99,39.7,9/19/2018 13:21,37.98,9/19/2018 13:21,2539,2556,9/19/2018 13:21,2535,9/19/2018 13:22,430.6,4394,12.72,23.29,22.5
49,9/19/2018 13:23,48,45.9,43.94,46.96,9/19/2018 13:22,39.44,40.11,9/19/2018 13:23,38.65,9/19/2018 13:22,2520,2535,9/19/2018 13:22,2507,9/19/2018 13:22,412.5,4377,12.73,23.29,22.49
50,9/19/2018 13:24,49,45.31,44.59,46.24,9/19/2018 13:23,39.63,40.17,9/19/2018 13:23,38.91,9/19/2018 13:23,2508,2527,9/19/2018 13:23,2506,9/19/2018 13:23,400.4,4365,12.75,23.28,22.45
51,9/19/2018 13:25,50,45.64,44.93,46.21,9/19/2018 13:24,40.14,40.56,9/19/2018 13:24,38.61,9/19/2018 13:24,2486,2507,9/19/2018 13:24,2471,9/19/2018 13:24,395.8,4369,12.75,23.27,22.48
52,9/19/2018 13:26,51,46.13,45.64,46.85,9/19/2018 13:25,39.7,40.49,9/19/2018 13:26,39.18,9/19/2018 13:25,2473,2473,9/19/2018 13:25,2472,9/19/2018 13:25,393.8,4372,12.75,23.27,22.44
53,9/19/2018 13:27,52,45.32,44.58,45.81,9/19/2018 13:26,39.64,40.42,9/19/2018 13:26,38.96,9/19/2018 13:26,2474,2475,9/19/2018 13:26,2473,9/19/2018 13:26,393.8,4372,12.75,23.26,22.41
54,9/19/2018 13:28,53,45.52,44.96,45.91,9/19/2018 13:28,39.82,40.94,9/19/2018 13:28,38.96,9/19/2018 13:27,2476,2477,9/19/2018 13:28,2475,9/19/2018 13:27,393.8,4372,12.75,23.25,22.4
