"","Year","County","NumZeroDays"
"1",1981,"F13001",108
"2",1981,"F13003",112
"3",1981,"F13005",115
"4",1981,"F13007",107
"5",1981,"F13009",119
"6",1981,"F13011",113
"7",1981,"F13013",119
"8",1981,"F13015",115
"9",1981,"F13017",113
"10",1981,"F13019",115
"11",1981,"F13021",116
"12",1981,"F13023",113
"13",1981,"F13025",106
"14",1981,"F13027",118
"15",1981,"F13029",107
"16",1981,"F13031",101
"17",1981,"F13033",105
"18",1981,"F13035",121
"19",1981,"F13037",117
"20",1981,"F13039",100
"21",1981,"F13043",116
"22",1981,"F13045",114
"23",1981,"F13047",117
"24",1981,"F13049",99
"25",1981,"F13051",106
"26",1981,"F13053",118
"27",1981,"F13055",115
"28",1981,"F13057",113
"29",1981,"F13059",112
"30",1981,"F13061",122
"31",1981,"F13063",126
"32",1981,"F13065",100
"33",1981,"F13067",109
"34",1981,"F13069",116
"35",1981,"F13071",115
"36",1981,"F13073",119
"37",1981,"F13075",118
"38",1981,"F13077",125
"39",1981,"F13079",113
"40",1981,"F13081",121
"41",1981,"F13083",117
"42",1981,"F13085",111
"43",1981,"F13087",105
"44",1981,"F13089",117
"45",1981,"F13091",107
"46",1981,"F13093",115
"47",1981,"F13095",116
"48",1981,"F13097",117
"49",1981,"F13099",109
"50",1981,"F13101",107
"51",1981,"F13103",106
"52",1981,"F13105",116
"53",1981,"F13107",115
"54",1981,"F13109",117
"55",1981,"F13111",94
"56",1981,"F13113",122
"57",1981,"F13115",113
"58",1981,"F13117",115
"59",1981,"F13119",120
"60",1981,"F13121",112
"61",1981,"F13123",105
"62",1981,"F13125",124
"63",1981,"F13127",106
"64",1981,"F13129",117
"65",1981,"F13131",106
"66",1981,"F13133",112
"67",1981,"F13135",116
"68",1981,"F13137",107
"69",1981,"F13139",115
"70",1981,"F13141",117
"71",1981,"F13143",117
"72",1981,"F13145",117
"73",1981,"F13147",122
"74",1981,"F13149",122
"75",1981,"F13151",122
"76",1981,"F13153",108
"77",1981,"F13155",112
"78",1981,"F13157",119
"79",1981,"F13159",119
"80",1981,"F13161",108
"81",1981,"F13163",114
"82",1981,"F13165",113
"83",1981,"F13167",106
"84",1981,"F13169",111
"85",1981,"F13171",127
"86",1981,"F13173",124
"87",1981,"F13175",105
"88",1981,"F13177",110
"89",1981,"F13179",110
"90",1981,"F13181",119
"91",1981,"F13183",109
"92",1981,"F13185",118
"93",1981,"F13187",110
"94",1981,"F13189",112
"95",1981,"F13191",107
"96",1981,"F13193",113
"97",1981,"F13195",113
"98",1981,"F13197",114
"99",1981,"F13199",122
"100",1981,"F13201",108
"101",1981,"F13205",109
"102",1981,"F13207",117
"103",1981,"F13209",108
"104",1981,"F13211",111
"105",1981,"F13213",98
"106",1981,"F13215",120
"107",1981,"F13217",123
"108",1981,"F13219",108
"109",1981,"F13221",116
"110",1981,"F13223",110
"111",1981,"F13225",118
"112",1981,"F13227",114
"113",1981,"F13229",106
"114",1981,"F13231",122
"115",1981,"F13233",121
"116",1981,"F13235",110
"117",1981,"F13237",115
"118",1981,"F13239",113
"119",1981,"F13241",102
"120",1981,"F13243",112
"121",1981,"F13245",111
"122",1981,"F13247",119
"123",1981,"F13249",117
"124",1981,"F13251",106
"125",1981,"F13253",108
"126",1981,"F13255",126
"127",1981,"F13257",114
"128",1981,"F13259",119
"129",1981,"F13261",114
"130",1981,"F13263",120
"131",1981,"F13265",119
"132",1981,"F13267",106
"133",1981,"F13269",115
"134",1981,"F13271",108
"135",1981,"F13273",118
"136",1981,"F13275",114
"137",1981,"F13277",118
"138",1981,"F13279",98
"139",1981,"F13281",101
"140",1981,"F13283",108
"141",1981,"F13285",120
"142",1981,"F13287",113
"143",1981,"F13289",110
"144",1981,"F13291",99
"145",1981,"F13293",125
"146",1981,"F13295",113
"147",1981,"F13297",115
"148",1981,"F13299",99
"149",1981,"F13301",117
"150",1981,"F13303",107
"151",1981,"F13305",107
"152",1981,"F13307",120
"153",1981,"F13309",109
"154",1981,"F13311",109
"155",1981,"F13313",108
"156",1981,"F13315",113
"157",1981,"F13317",118
"158",1981,"F13319",109
"159",1981,"F13321",108
"160",1981,"F37001",109
"161",1981,"F37003",105
"162",1981,"F37005",109
"163",1981,"F37007",110
"164",1981,"F37009",104
"165",1981,"F37011",93
"166",1981,"F37013",115
"167",1981,"F37015",113
"168",1981,"F37017",111
"169",1981,"F37019",102
"170",1981,"F37021",96
"171",1981,"F37023",103
"172",1981,"F37025",113
"173",1981,"F37027",111
"174",1981,"F37029",120
"175",1981,"F37031",120
"176",1981,"F37033",108
"177",1981,"F37035",105
"178",1981,"F37037",113
"179",1981,"F37039",96
"180",1981,"F37041",121
"181",1981,"F37043",97
"182",1981,"F37045",114
"183",1981,"F37047",107
"184",1981,"F37049",112
"185",1981,"F37051",109
"186",1981,"F37053",116
"187",1981,"F37055",99
"188",1981,"F37057",110
"189",1981,"F37059",124
"190",1981,"F37061",111
"191",1981,"F37063",107
"192",1981,"F37065",118
"193",1981,"F37067",105
"194",1981,"F37069",115
"195",1981,"F37071",112
"196",1981,"F37073",109
"197",1981,"F37075",98
"198",1981,"F37077",107
"199",1981,"F37079",119
"200",1981,"F37081",104
"201",1981,"F37083",110
"202",1981,"F37085",115
"203",1981,"F37087",88
"204",1981,"F37089",100
"205",1981,"F37091",112
"206",1981,"F37093",110
"207",1981,"F37095",109
"208",1981,"F37097",105
"209",1981,"F37099",92
"210",1981,"F37101",111
"211",1981,"F37103",119
"212",1981,"F37105",114
"213",1981,"F37107",118
"214",1981,"F37109",111
"215",1981,"F37111",95
"216",1981,"F37113",93
"217",1981,"F37115",86
"218",1981,"F37117",115
"219",1981,"F37119",108
"220",1981,"F37121",85
"221",1981,"F37123",113
"222",1981,"F37125",108
"223",1981,"F37127",116
"224",1981,"F37129",111
"225",1981,"F37131",112
"226",1981,"F37133",114
"227",1981,"F37135",111
"228",1981,"F37137",117
"229",1981,"F37139",121
"230",1981,"F37141",112
"231",1981,"F37143",116
"232",1981,"F37145",114
"233",1981,"F37147",115
"234",1981,"F37149",102
"235",1981,"F37151",112
"236",1981,"F37153",111
"237",1981,"F37155",110
"238",1981,"F37157",107
"239",1981,"F37159",113
"240",1981,"F37161",101
"241",1981,"F37163",108
"242",1981,"F37165",117
"243",1981,"F37167",112
"244",1981,"F37169",104
"245",1981,"F37171",103
"246",1981,"F37173",86
"247",1981,"F37175",97
"248",1981,"F37177",121
"249",1981,"F37179",114
"250",1981,"F37181",118
"251",1981,"F37183",107
"252",1981,"F37185",116
"253",1981,"F37187",118
"254",1981,"F37189",101
"255",1981,"F37191",116
"256",1981,"F37193",105
"257",1981,"F37195",117
"258",1981,"F37197",114
"259",1981,"F37199",83
"260",1981,"F45001",117
"261",1981,"F45003",108
"262",1981,"F45005",111
"263",1981,"F45007",117
"264",1981,"F45009",112
"265",1981,"F45011",110
"266",1981,"F45013",116
"267",1981,"F45015",106
"268",1981,"F45017",115
"269",1981,"F45019",107
"270",1981,"F45021",112
"271",1981,"F45023",114
"272",1981,"F45025",105
"273",1981,"F45027",114
"274",1981,"F45029",104
"275",1981,"F45031",109
"276",1981,"F45033",111
"277",1981,"F45035",104
"278",1981,"F45037",111
"279",1981,"F45039",113
"280",1981,"F45041",113
"281",1981,"F45043",116
"282",1981,"F45045",100
"283",1981,"F45047",119
"284",1981,"F45049",111
"285",1981,"F45051",108
"286",1981,"F45053",111
"287",1981,"F45055",110
"288",1981,"F45057",118
"289",1981,"F45059",115
"290",1981,"F45061",114
"291",1981,"F45063",105
"292",1981,"F45065",117
"293",1981,"F45067",112
"294",1981,"F45069",103
"295",1981,"F45071",113
"296",1981,"F45073",104
"297",1981,"F45075",109
"298",1981,"F45077",106
"299",1981,"F45079",109
"300",1981,"F45081",112
"301",1981,"F45083",108
"302",1981,"F45085",114
"303",1981,"F45087",121
"304",1981,"F45089",117
"305",1981,"F45091",113
"306",1981,"F51001",19
"307",1981,"F51003",112
"308",1981,"F51005",106
"309",1981,"F51007",110
"310",1981,"F51009",108
"311",1981,"F51011",115
"312",1981,"F51013",119
"313",1981,"F51015",97
"314",1981,"F51017",99
"315",1981,"F51019",110
"316",1981,"F51021",96
"317",1981,"F51023",102
"318",1981,"F51025",116
"319",1981,"F51027",94
"320",1981,"F51029",114
"321",1981,"F51031",115
"322",1981,"F51033",113
"323",1981,"F51035",108
"324",1981,"F51036",115
"325",1981,"F51037",114
"326",1981,"F51041",114
"327",1981,"F51043",106
"328",1981,"F51045",103
"329",1981,"F51047",111
"330",1981,"F51049",116
"331",1981,"F51051",96
"332",1981,"F51053",113
"333",1981,"F51057",117
"334",1981,"F51059",115
"335",1981,"F51061",100
"336",1981,"F51063",105
"337",1981,"F51065",122
"338",1981,"F51067",103
"339",1981,"F51069",105
"340",1981,"F51071",100
"341",1981,"F51073",116
"342",1981,"F51075",120
"343",1981,"F51077",104
"344",1981,"F51079",106
"345",1981,"F51081",117
"346",1981,"F51083",111
"347",1981,"F51085",113
"348",1981,"F51087",111
"349",1981,"F51089",112
"350",1981,"F51091",97
"351",1981,"F51093",109
"352",1981,"F51095",119
"353",1981,"F51097",115
"354",1981,"F51099",118
"355",1981,"F51101",117
"356",1981,"F51103",118
"357",1981,"F51105",103
"358",1981,"F51107",107
"359",1981,"F51109",117
"360",1981,"F51111",115
"361",1981,"F51113",104
"362",1981,"F51115",118
"363",1981,"F51117",119
"364",1981,"F51119",118
"365",1981,"F51121",107
"366",1981,"F51125",106
"367",1981,"F51127",119
"368",1981,"F51131",20
"369",1981,"F51133",116
"370",1981,"F51135",112
"371",1981,"F51137",115
"372",1981,"F51139",101
"373",1981,"F51141",103
"374",1981,"F51143",108
"375",1981,"F51145",118
"376",1981,"F51147",114
"377",1981,"F51149",115
"378",1981,"F51153",113
"379",1981,"F51155",108
"380",1981,"F51157",101
"381",1981,"F51159",121
"382",1981,"F51161",102
"383",1981,"F51163",98
"384",1981,"F51165",96
"385",1981,"F51167",94
"386",1981,"F51169",94
"387",1981,"F51171",109
"388",1981,"F51173",98
"389",1981,"F51175",107
"390",1981,"F51177",113
"391",1981,"F51179",110
"392",1981,"F51181",115
"393",1981,"F51183",119
"394",1981,"F51185",96
"395",1981,"F51187",102
"396",1981,"F51191",96
"397",1981,"F51193",116
"398",1981,"F51195",94
"399",1981,"F51197",103
