"","Year","County","NumDays"
"1",1981,"F13001",5
"2",1981,"F13003",8
"3",1981,"F13005",5
"4",1981,"F13007",10
"5",1981,"F13009",7
"6",1981,"F13011",7
"7",1981,"F13013",1
"8",1981,"F13015",9
"9",1981,"F13017",9
"10",1981,"F13019",9
"11",1981,"F13021",9
"12",1981,"F13023",5
"13",1981,"F13025",10
"14",1981,"F13027",8
"15",1981,"F13029",6
"16",1981,"F13031",5
"17",1981,"F13033",4
"18",1981,"F13035",8
"19",1981,"F13037",9
"20",1981,"F13039",6
"21",1981,"F13043",6
"22",1981,"F13045",7
"23",1981,"F13047",6
"24",1981,"F13049",7
"25",1981,"F13051",10
"26",1981,"F13053",7
"27",1981,"F13055",12
"28",1981,"F13057",6
"29",1981,"F13059",3
"30",1981,"F13061",7
"31",1981,"F13063",4
"32",1981,"F13065",6
"33",1981,"F13067",9
"34",1981,"F13069",8
"35",1981,"F13071",9
"36",1981,"F13073",11
"37",1981,"F13075",7
"38",1981,"F13077",6
"39",1981,"F13079",9
"40",1981,"F13081",7
"41",1981,"F13083",9
"42",1981,"F13085",4
"43",1981,"F13087",9
"44",1981,"F13089",4
"45",1981,"F13091",4
"46",1981,"F13093",6
"47",1981,"F13095",8
"48",1981,"F13097",5
"49",1981,"F13099",9
"50",1981,"F13101",9
"51",1981,"F13103",9
"52",1981,"F13105",6
"53",1981,"F13107",7
"54",1981,"F13109",6
"55",1981,"F13111",6
"56",1981,"F13113",5
"57",1981,"F13115",10
"58",1981,"F13117",5
"59",1981,"F13119",5
"60",1981,"F13121",6
"61",1981,"F13123",10
"62",1981,"F13125",5
"63",1981,"F13127",9
"64",1981,"F13129",9
"65",1981,"F13131",7
"66",1981,"F13133",6
"67",1981,"F13135",3
"68",1981,"F13137",5
"69",1981,"F13139",6
"70",1981,"F13141",8
"71",1981,"F13143",8
"72",1981,"F13145",7
"73",1981,"F13147",5
"74",1981,"F13149",4
"75",1981,"F13151",7
"76",1981,"F13153",8
"77",1981,"F13155",8
